Code,TIME,Renewable Supply %
HND,2010,48.31
HND,2011,48.47
HND,2012,49.6
HND,2013,47.85
HND,2014,47.13
HND,2015,47.59
HND,2016,49.61
HND,2017,49.85
HKG,2008,0.5
HKG,2009,0.47
HKG,2010,0.72
HKG,2011,0.8
HKG,2012,0.71
HKG,2013,0.78
HKG,2014,0.78
HKG,2015,0.71
HKG,2016,0.69
HKG,2017,0.76
IND,2008,30.05
IND,2009,28.29
IND,2010,28.23
IND,2011,28.4
IND,2012,26.72
IND,2013,26.17
IND,2014,24.36
IND,2015,23.52
IND,2016,24.12
IND,2017,23.41
IDN,2008,35.87
IDN,2009,34.46
IDN,2010,33.08
IDN,2011,34.94
IDN,2012,34.69
IDN,2013,34.56
IDN,2014,33.78
IDN,2015,33.33
IDN,2016,33.77
IDN,2017,33.18
IRN,2008,0.52
IRN,2009,0.62
IRN,2010,0.71
IRN,2011,0.75
IRN,2012,0.74
IRN,2013,0.81
IRN,2014,0.73
IRN,2015,0.73
IRN,2016,0.8
IRN,2017,0.7
IRQ,2008,1.21
IRQ,2009,0.97
IRQ,2010,1.22
IRQ,2011,0.81
IRQ,2012,0.9
IRQ,2013,0.91
IRQ,2014,0.6
IRQ,2015,0.56
IRQ,2016,0.6
IRQ,2017,0.28
ISR,2008,4.75
ISR,2009,5
ISR,2010,5.02
ISR,2011,4.99
ISR,2012,1.61
ISR,2013,1.86
ISR,2014,2.25
ISR,2015,2.26
ISR,2016,2.43
ISR,2017,2.49
JAM,2008,7.55
JAM,2009,10.58
JAM,2010,11.5
JAM,2011,12.15
JAM,2012,13.56
JAM,2013,13.02
JAM,2014,13.46
JAM,2015,13.57
JAM,2016,12.32
JAM,2017,14.2
JOR,2008,1.72
JOR,2009,1.76
JOR,2010,1.92
JOR,2011,2
JOR,2012,1.94
JOR,2013,2.03
JOR,2014,2.01
JOR,2015,2.1
JOR,2016,3.02
JOR,2017,3.55
KAZ,2008,1.02
KAZ,2009,1.04
KAZ,2010,1.07
KAZ,2011,0.98
KAZ,2012,0.97
KAZ,2013,0.9
KAZ,2014,0.95
KAZ,2015,1.14
KAZ,2016,1.39
KAZ,2017,1.26
KEN,2008,83.54
KEN,2009,81.42
KEN,2010,80.96
KEN,2011,81.47
KEN,2012,83.18
KEN,2013,81.73
KEN,2014,82.48
KEN,2015,81.11
KEN,2016,79.59
KEN,2017,80.25
KWT,2008,0
KWT,2009,0
KWT,2010,0
KWT,2011,0
KWT,2012,0
KWT,2013,0
KWT,2014,0
KWT,2015,0
KWT,2016,0
KWT,2017,0
KGZ,2008,27.67
KGZ,2009,30.58
KGZ,2010,34.83
KGZ,2011,36.84
KGZ,2012,29.59
KGZ,2013,28.99
KGZ,2014,28.07
KGZ,2015,24.05
KGZ,2016,25.64
KGZ,2017,31.8
LVA,2008,30.03
LVA,2009,35.58
LVA,2010,31.81
LVA,2011,33.3
LVA,2012,37.39
LVA,2013,37.12
LVA,2014,37.17
LVA,2015,36.05
LVA,2016,38.14
LVA,2017,43.96
LBN,2008,3.53
LBN,2009,2.9
LBN,2010,3.49
LBN,2011,3.8
LBN,2012,3.69
LBN,2013,4.01
LBN,2014,2.63
LBN,2015,2.63
LBN,2016,2.49
LBN,2017,2.43
LBY,2008,0.91
LBY,2009,0.88
LBY,2010,0.76
LBY,2011,0.9
LBY,2012,0.9
LBY,2013,1.01
LBY,2014,0.75
LBY,2015,0.96
LBY,2016,1.07
LBY,2017,1.08
LTU,2008,10.72
LTU,2009,12
LTU,2010,15.1
LTU,2011,14.46
LTU,2012,15.74
LTU,2013,17.4
LTU,2014,18.3
LTU,2015,20.14
LTU,2016,20.32
LTU,2017,20.71
MYS,2008,2.2
MYS,2009,2.13
MYS,2010,1.89
MYS,2011,1.9
MYS,2012,1.92
MYS,2013,1.98
MYS,2014,2.06
MYS,2015,2.23
MYS,2016,2.78
MYS,2017,3.44
MLT,2008,0.1
MLT,2009,0.12
MLT,2010,0.61
MLT,2011,0.99
MLT,2012,1.34
MLT,2013,1.61
MLT,2014,2.34
MLT,2015,3.1
MLT,2016,4.08
MLT,2017,4.47
MDA,2008,3.33
MDA,2009,3.39
MDA,2010,14.67
MDA,2011,15.07
MDA,2012,15.91
MDA,2013,18.05
MDA,2014,18.04
MDA,2015,18.19
MDA,2016,18.88
MDA,2017,20.44
MNG,2008,5.06
MNG,2009,4.93
MNG,2010,4.72
MNG,2011,4.36
MNG,2012,3.31
MNG,2013,3
MNG,2014,3.04
MNG,2015,3.49
MNG,2016,3.27
MNG,2017,3.46
MAR,2008,10.92
MAR,2009,10.74
MAR,2010,10.49
MAR,2011,8.79
MAR,2012,8.26
MAR,2013,8.89
MAR,2014,8.43
MAR,2015,8.58
MAR,2016,8.93
MAR,2017,8.46
MOZ,2008,94.5
MOZ,2009,93.06
MOZ,2010,93.08
MOZ,2011,92.21
MOZ,2012,91.81
MOZ,2013,90.57
MOZ,2014,86.79
MOZ,2015,79.15
MOZ,2016,78.52
MOZ,2017,75.06
MMR,2008,71.46
MMR,2009,76.56
MMR,2010,78.59
MMR,2011,78.9
MMR,2012,72.77
MMR,2013,70.16
MMR,2014,64.4
MMR,2015,63
MMR,2016,59.25
MMR,2017,52.63
NAM,2008,22.94
NAM,2009,24.37
NAM,2010,21.78
NAM,2011,22.69
NAM,2012,23.2
NAM,2013,20.99
NAM,2014,21.6
NAM,2015,21.46
NAM,2016,20.24
NAM,2017,21.24
NPL,2008,89.84
NPL,2009,88.47
NPL,2010,86.86
NPL,2011,86.4
NPL,2012,84.13
NPL,2013,85.05
NPL,2014,82.96
NPL,2015,83.87
NPL,2016,78.15
NPL,2017,75.46
NIC,2008,53.4
NIC,2009,52.61
NIC,2010,53.18
NIC,2011,51.47
NIC,2012,56.69
NIC,2013,60.84
NIC,2014,60.2
NIC,2015,57.07
NIC,2016,56.02
NIC,2017,56.3
NER,2008,82.49
NER,2009,80.29
NER,2010,76.74
NER,2011,73
NER,2012,67.52
NER,2013,71.5
NER,2014,73.06
NER,2015,74.63
NER,2016,77.37
NER,2017,75.36
